doc_id,empty,short,high_nonascii,high_digits,high_noise,very_long_line_raw,very_long_line_norm
132919039.txt,False,False,False,False,False,True,False
10321753.txt,False,False,False,False,False,True,False
158950044.txt,False,False,False,False,False,True,False
238614231.txt,False,False,False,False,False,True,False
153227157.txt,False,False,False,False,False,True,False
79383768.txt,False,False,False,False,False,False,False
130468189.txt,False,False,False,False,False,True,True
148762010.txt,False,False,False,False,False,True,True
170275298.txt,False,False,False,False,False,True,False
2983484.txt,False,False,False,False,False,False,False
144215518.txt,False,False,False,False,False,True,False
174666779.txt,False,False,False,False,False,True,False
126358883.txt,False,False,False,False,False,True,False
85273840.txt,False,False,False,False,False,False,False
162943036.txt,False,False,False,False,False,True,False
150417940.txt,False,False,False,False,False,True,False
120354214.txt,False,False,False,False,False,True,True
141786759.txt,False,False,False,False,False,True,False
154882021.txt,False,False,False,False,False,True,False
164410941.txt,False,False,False,False,False,True,False
150428873.txt,False,False,False,False,False,True,False
161101742.txt,False,False,False,False,False,True,False
148763615.txt,False,False,False,False,False,True,False
129277153.txt,False,False,False,False,False,True,True
276375206.txt,False,False,False,False,False,True,False
168945689.txt,False,False,False,False,False,True,False
79376745.txt,False,False,False,False,False,False,False
145608239.txt,False,False,False,False,False,True,False
68201866.txt,False,False,False,False,False,False,False
130693795.txt,False,False,False,False,False,True,False
14212455.txt,False,False,False,False,False,True,False
86798909.txt,False,False,False,False,False,False,False
41017230.txt,False,False,False,False,False,True,False
275282245.txt,False,False,False,False,False,True,False
146136648.txt,False,False,False,False,False,True,False
37045321.txt,False,False,False,False,False,True,False
132366816.txt,False,False,False,False,False,True,False
174669456.txt,False,False,False,False,False,True,False
275421089.txt,False,False,False,False,False,True,False
58144313.txt,False,False,False,False,False,False,False
46241627.txt,False,False,False,False,False,False,False
109894367.txt,False,False,False,False,False,False,False
11366396.txt,False,False,False,False,False,True,False
11090345.txt,False,False,False,False,False,True,False
172507674.txt,False,False,False,False,False,True,False
11364865.txt,False,False,False,False,False,True,False
175192.txt,False,False,False,False,False,False,False
46475119.txt,False,False,False,False,False,True,False
163477892.txt,False,False,False,False,False,True,False
161218465.txt,False,False,False,False,False,True,False
134098360.txt,False,False,False,False,False,True,False
69949797.txt,False,False,False,False,False,False,False
14167940.txt,False,False,False,False,False,True,False
74603295.txt,False,False,False,False,False,False,False
74593870.txt,False,False,False,False,False,False,False
19022360.txt,False,False,False,False,False,True,False
46425436.txt,False,False,False,False,False,True,False
149001984.txt,False,False,False,False,False,True,True
149943008.txt,False,False,False,False,False,True,False
37040538.txt,False,False,False,False,False,True,False
163044130.txt,False,False,False,False,False,True,False
96050448.txt,False,False,False,False,False,False,True
160209805.txt,False,False,False,False,False,True,False
79375841.txt,False,False,False,False,False,False,False
134179459.txt,False,False,False,False,False,True,False
14165967.txt,False,False,False,False,False,True,False
123150469.txt,False,False,False,False,False,False,False
107377471.txt,False,False,False,False,False,False,False
75572108.txt,False,False,False,False,False,False,False
39625942.txt,False,False,False,False,False,True,False
120343021.txt,False,False,False,False,False,True,False
45685415.txt,False,False,False,False,False,True,False
160192444.txt,False,False,False,False,False,True,False
11592337.txt,False,False,False,False,False,True,True
158636626.txt,False,False,False,False,False,True,False
136517197.txt,False,False,False,False,False,True,False
11000540.txt,False,False,False,False,False,True,True
122238403.txt,False,False,False,False,False,True,False
125972916.txt,False,False,False,False,False,True,False
85983015.txt,False,False,False,False,False,True,False
203144.txt,False,False,False,False,False,True,False
122777421.txt,False,False,False,False,False,False,False
174664387.txt,False,False,False,False,False,True,False
77963358.txt,False,False,False,False,False,True,False
154881862.txt,False,False,False,False,False,True,False
157287594.txt,False,False,False,False,False,True,True
160229515.txt,False,False,False,False,False,True,False
7455137.txt,False,False,False,False,False,False,False
78065660.txt,False,False,False,False,False,False,False
125976488.txt,False,False,False,False,False,True,True
13935660.txt,False,False,False,False,False,True,False
135543159.txt,False,False,False,False,False,True,False
108644138.txt,False,False,False,False,False,False,False
112797010.txt,False,False,False,False,False,False,False
139252718.txt,False,False,False,False,False,True,False
11803623.txt,False,False,False,False,False,True,False
138811648.txt,False,False,False,False,False,True,False
79380520.txt,False,False,False,False,False,False,False
4323950.txt,False,False,False,False,False,False,False
291364878.txt,False,False,False,False,False,True,False
133308471.txt,False,False,False,False,False,True,False
86594647.txt,False,False,False,False,False,False,False
171004261.txt,False,False,False,False,False,True,False
39761788.txt,False,False,False,False,False,True,False
173824063.txt,False,False,False,False,False,True,False
123816309.txt,False,False,False,False,False,True,False
78154282.txt,False,False,False,False,False,False,False
168919962.txt,False,False,False,False,False,True,False
154085689.txt,False,False,False,False,False,False,False
69948212.txt,False,False,False,False,False,False,False
85979319.txt,False,False,False,False,False,False,False
148767355.txt,False,False,False,False,False,True,False
150058121.txt,False,False,False,False,False,True,False
130207093.txt,False,False,False,False,False,True,False
7636669.txt,False,False,False,False,False,True,False
39818365.txt,False,False,False,False,False,True,True
135729683.txt,False,False,False,False,False,True,False
63327361.txt,False,False,False,False,False,False,False
77971436.txt,False,False,False,False,False,True,False
125215596.txt,False,False,False,False,False,True,False
140185673.txt,False,False,False,False,False,True,False
82277665.txt,False,False,False,False,False,False,False
15202728.txt,False,False,False,False,False,True,False
11348852.txt,False,False,False,False,False,True,False
276408390.txt,False,False,False,False,False,True,False
